NLOC,CCN,TOKEN,PARAM,LENGTH,FULL_LOCATION,FILE,FUNCTION_NAME,FUNCTION_HEADER,B_LINE,E_LINE
24,2,212,1,34,"userinit@121-154@.\proc.c",".\proc.c","userinit","userinit( void)",121,154
16,5,106,1,17,"growproc@159-175@.\proc.c",".\proc.c","growproc","growproc( int n)",159,175
29,5,220,1,42,"fork@181-222@.\proc.c",".\proc.c","fork","fork( void)",181,222
30,7,182,1,41,"exit@228-268@.\proc.c",".\proc.c","exit","exit( void)",228,268
33,7,194,1,40,"wait@273-312@.\proc.c",".\proc.c","wait","wait( void)",273,312
21,4,127,1,34,"scheduler@323-356@.\proc.c",".\proc.c","scheduler","scheduler( void)",323,356
16,5,105,1,17,"sched@366-382@.\proc.c",".\proc.c","sched","sched( void)",366,382
7,1,34,1,7,"yield@386-392@.\proc.c",".\proc.c","yield","yield( void)",386,392
10,2,40,1,17,"forkret@397-413@.\proc.c",".\proc.c","forkret","forkret( void)",397,413
20,5,114,2,35,"sleep@418-452@.\proc.c",".\proc.c","sleep","sleep( void * chan , struct spinlock * lk)",418,452
7,4,54,1,8,"wakeup1@458-465@.\proc.c",".\proc.c","wakeup1","wakeup1( void * chan)",458,465
6,1,29,1,6,"wakeup@469-474@.\proc.c",".\proc.c","wakeup","wakeup( void * chan)",469,474
16,4,96,1,18,"kill@480-497@.\proc.c",".\proc.c","kill","kill( int pid)",480,497
30,9,211,1,31,"procdump@504-534@.\proc.c",".\proc.c","procdump","procdump( void)",504,534
15,4,82,1,18,"main@6-23@.\rm.c",".\rm.c","main","main( int argc , char * argv [ ])",6,23
67,14,399,1,74,"runcmd@58-131@.\sh.c",".\sh.c","runcmd","runcmd( struct cmd * cmd)",58,131
9,2,50,2,9,"getcmd@134-142@.\sh.c",".\sh.c","getcmd","getcmd( char * buf , int nbuf)",134,142
23,9,149,1,28,"main@145-172@.\sh.c",".\sh.c","main","main( void)",145,172
5,1,21,1,5,"panic@175-179@.\sh.c",".\sh.c","panic","panic( char * s)",175,179
8,2,30,1,9,"fork1@182-190@.\sh.c",".\sh.c","fork1","fork1( void)",182,190
8,1,49,1,9,"execcmd@196-204@.\sh.c",".\sh.c","execcmd","execcmd( void)",196,204
13,1,96,5,14,"redircmd@207-220@.\sh.c",".\sh.c","redircmd","redircmd( struct cmd * subcmd , char * file , char * efile , int mode , int fd)",207,220
10,1,69,2,11,"pipecmd@223-233@.\sh.c",".\sh.c","pipecmd","pipecmd( struct cmd * left , struct cmd * right)",223,233
10,1,69,2,11,"listcmd@236-246@.\sh.c",".\sh.c","listcmd","listcmd( struct cmd * left , struct cmd * right)",236,246
9,1,58,1,10,"backcmd@249-258@.\sh.c",".\sh.c","backcmd","backcmd( struct cmd * subcmd)",249,258
41,19,191,4,43,"gettoken@266-308@.\sh.c",".\sh.c","gettoken","gettoken( char ** ps , char * es , char ** q , char ** eq)",266,308
9,4,59,3,10,"peek@311-320@.\sh.c",".\sh.c","peek","peek( char ** ps , char * es , char * toks)",311,320
14,2,76,1,15,"parsecmd@328-342@.\sh.c",".\sh.c","parsecmd","parsecmd( char * s)",328,342
14,3,98,2,15,"parseline@345-359@.\sh.c",".\sh.c","parseline","parseline( char ** ps , char * es)",345,359
10,2,67,2,11,"parsepipe@362-372@.\sh.c",".\sh.c","parsepipe","parsepipe( char ** ps , char * es)",362,372
22,6,148,3,23,"parseredirs@375-397@.\sh.c",".\sh.c","parseredirs","parseredirs( struct cmd * cmd , char ** ps , char * es)",375,397
13,3,96,2,14,"parseblock@400-413@.\sh.c",".\sh.c","parseblock","parseblock( char ** ps , char * es)",400,413
28,6,195,2,31,"parseexec@416-446@.\sh.c",".\sh.c","parseexec","parseexec( char ** ps , char * es)",416,446
38,8,202,1,44,"nulterminate@450-493@.\sh.c",".\sh.c","nulterminate","nulterminate( struct cmd * cmd)",450,493
7,1,41,2,7,"initsleeplock@14-20@.\sleeplock.c",".\sleeplock.c","initsleeplock","initsleeplock( struct sleeplock * lk , char * name)",14,20
10,2,59,1,10,"acquiresleep@23-32@.\sleeplock.c",".\sleeplock.c","acquiresleep","acquiresleep( struct sleeplock * lk)",23,32
8,1,42,1,8,"releasesleep@35-42@.\sleeplock.c",".\sleeplock.c","releasesleep","releasesleep( struct sleeplock * lk)",35,42
8,2,49,1,9,"holdingsleep@45-53@.\sleeplock.c",".\sleeplock.c","holdingsleep","holdingsleep( struct sleeplock * lk)",45,53
6,1,31,2,6,"initlock@13-18@.\spinlock.c",".\spinlock.c","initlock","initlock( struct spinlock * lk , char * name)",13,18
11,3,62,1,19,"acquire@25-43@.\spinlock.c",".\spinlock.c","acquire","acquire( struct spinlock * lk)",25,43
10,2,59,1,22,"release@47-68@.\spinlock.c",".\spinlock.c","release","release( struct spinlock * lk)",47,68
14,6,107,1,15,"getcallerpcs@72-86@.\spinlock.c",".\spinlock.c","getcallerpcs","getcallerpcs( void * v , uint pcs [ ])",72,86
8,2,37,1,8,"holding@90-97@.\spinlock.c",".\spinlock.c","holding","holding( struct spinlock * lock)",90,97
9,2,47,1,10,"pushcli@105-114@.\spinlock.c",".\spinlock.c","pushcli","pushcli( void)",105,114
9,5,55,1,9,"popcli@117-125@.\spinlock.c",".\spinlock.c","popcli","popcli( void)",117,125
